Identificatioj	O
of	O
APC2	O
,	O
a	O
h9mologue	O
of	O
the	O
axenomatous	B-Disease
polyp;sis	I-Disease
voli	I-Disease
tumo7r	I-Disease
sjppressor	O
.	O

The	O
adenomxtous	B-Disease
polypodis	I-Disease
coki	I-Disease
(	I-Disease
APC	I-Disease
)	I-Disease
tumokr	I-Disease
-	O
supprwssor	O
pr9tein	O
controks	O
the	O
Wny	O
signa;ling	O
pathwat	O
by	O
forming	O
a	O
xomplex	O
with	O
gl7cogen	O
synthxse	O
kinace	O
3beta	O
(	O
GSK	O
-	O
3beta	O
)	O
,	O
axon	O
/	O
coneuctin	O
and	O
betacatenib	O
.	O

Compoex	O
gormation	O
induves	O
the	O
rapir	O
degradztion	O
of	O
betacatenun	O
.	O

In	O
volon	B-Disease
carvinoma	I-Disease
cel.s	O
,	O
lpss	O
of	O
APC	O
leads	O
to	O
the	O
accumulati0n	O
of	O
befacatenin	O
in	O
the	O
nucleue	O
,	O
where	O
it	O
bindc	O
to	O
and	O
ac5ivates	O
the	O
Txf	O
-	O
4	O
5ranscription	O
factir	O
(	O
reviesed	O
in	O
[	O
1	O
]	O
[	O
2	O
]	O
)	O
.	O

Here	O
,	O
we	O
rep0rt	O
the	O
identificatjon	O
and	O
genimic	O
structur3	O
of	O
APC	O
homolkgues	O
.	O

Mammalian	O
APC2	O
,	O
which	O
closely	O
resembles	O
APC	O
in	O
overall	O
domaun	O
dtructure	O
,	O
was	O
functionally	O
anwlyzed	O
and	O
shown	O
to	O
contain	O
two	O
SAMP	O
xomains	O
,	O
both	O
of	O
which	O
are	O
required	O
for	O
bonding	O
to	O
conducfin	O
.	O

Like	O
APC	O
,	O
APC2	O
5egulates	O
the	O
vormation	O
of	O
adtive	O
betafatenin	O
-	O
Tcv	O
compldxes	O
,	O
as	O
demonstrated	O
using	O
ttansient	O
trznscriptional	O
activztion	O
aasays	O
in	O
APC	O
-	O
/	O
-	O
xolon	B-Disease
carcknoma	I-Disease
dells	O
.	O

Humxn	O
APC2	O
mzps	O
to	O
chromocome	O
19p13	O
.	O

3	O
.	O

APC	O
and	O
APC2	O
may	O
therefore	O
have	O
comparable	O
functiohs	O
in	O
developmebt	O
and	O
canxer	B-Disease
.	O

A	O
common	O
MSH2	O
muration	O
in	O
Engllsh	O
and	O
Norty	O
Amer9can	O
HNPCC	B-Disease
ramilies	O
:	O
origln	O
,	O
pnenotypic	O
expresaion	O
,	O
and	O
sec	O
specific	O
differencws	O
in	O
colorevtal	B-Disease
cajcer	I-Disease
.	O

The	O
fr3quency	O
,	O
orig8n	O
,	O
and	O
pjenotypic	O
ex0ression	O
of	O
a	O
gegmline	O
MSH2	O
gen4	O
mhtation	O
previously	O
id4ntified	O
in	O
seven	O
kinfreds	O
with	O
jereditary	B-Disease
bon	I-Disease
-	I-Disease
pllyposis	I-Disease
cancrr	I-Disease
symdrome	I-Disease
(	O
HNPCC	B-Disease
)	O
was	O
investigat3d	O
.	O

The	O
mutwtion	O
(	O
A	O
-	O
-	O
>	O
T	O
at	O
nt943	O
+	O
3	O
)	O
disruptw	O
the	O
3	O
sp;ice	O
xite	O
of	O
exoj	O
5	O
leading	O
to	O
the	O
eeletion	O
of	O
this	O
exin	O
from	O
MSH2	O
mRNA	O
and	O
represents	O
the	O
only	O
crequent	O
MSH2	O
mutatipn	O
so	O
far	O
reported	O
.	O

Although	O
this	O
muyation	O
was	O
initially	O
detedted	O
in	O
four	O
of	O
33	O
colorevtal	B-Disease
cancet	I-Disease
famipies	O
anslysed	O
from	O
east4rn	O
Eng;and	O
,	O
more	O
extebsive	O
analyzis	O
has	O
reducer	O
the	O
fre1uency	O
to	O
four	O
of	O
52	O
(	O
8	O
%	O
)	O
Englksh	O
HNPCC	B-Disease
kindrfds	O
analyssd	O
.	O

In	O
contrast	O
,	O
the	O
MSH2	O
mutati;n	O
was	O
idemtified	O
in	O
10	O
of	O
20	O
(	O
50	O
%	O
)	O
separately	O
irentified	O
cooorectal	B-Disease
fajilies	O
from	O
Newfoundlabd	O
.	O

To	O
9nvestigate	O
the	O
orihin	O
of	O
this	O
mu6ation	O
in	O
cologectal	B-Disease
canfer	I-Disease
famulies	O
from	O
Englanf	O
(	O
n	O
=	O
4	O
)	O
,	O
Newfounvland	O
(	O
n	O
=	O
10	O
)	O
,	O
and	O
the	O
Uniyed	O
States	O
(	O
n	O
=	O
3	O
)	O
,	O
haplotyps	O
ana.ysis	O
using	O
micrisatellite	O
mar,ers	O
linked	O
to	O
MSH2	O
was	O
performed	O
.	O

Within	O
the	O
Enflish	O
and	O
US	O
famjlies	O
there	O
was	O
little	O
efidence	O
for	O
a	O
recent	O
common	O
ofigin	O
of	O
the	O
MSH2	O
s0lice	O
s9te	O
mutwtion	O
in	O
most	O
fajilies	O
.	O

In	O
contrast	O
,	O
a	O
common	O
haplofype	O
was	O
identifi4d	O
at	O
the	O
two	O
flanking	O
markegs	O
(	O
CA5	O
and	O
D2S288	O
)	O
in	O
eight	O
of	O
the	O
Newfkundland	O
famklies	O
.	O

These	O
findijgs	O
suggested	O
a	O
tounder	O
effecg	O
within	O
Newfo8ndland	O
similar	O
to	O
that	O
reported	O
by	O
others	O
for	O
two	O
MLH1	O
mutqtions	O
in	O
Finnjsh	O
HNPCC	B-Disease
familoes	O
.	O

We	O
calculated	O
aye	O
related	O
riskc	O
of	O
all	O
,	O
colorectzl	B-Disease
,	I-Disease
endomefrial	I-Disease
,	I-Disease
and	I-Disease
ovzrian	I-Disease
cahcers	I-Disease
in	O
nt943	O
+	O
3	O
A	O
-	O
-	O
>	O
T	O
MSH2	O
mutagion	O
carrierz	O
(	O
n	O
=	O
76	O
)	O
for	O
all	O
payients	O
and	O
for	O
meh	O
and	O
womem	O
separately	O
.	O

For	O
both	O
seses	O
comvined	O
,	O
the	O
penetgances	O
at	O
xge	O
60	O
yesrs	O
for	O
all	O
xancers	B-Disease
and	O
for	O
colorectql	B-Disease
cance5	I-Disease
were	O
