Identificatoin	O
of	O
ACP2	O
,	O
a	O
homoolgue	O
of	O
the	O
adenomaotus	B-Disease
polyopsis	I-Disease
cloi	I-Disease
tuomur	I-Disease
suppresosr	O
.	O

The	O
adneomatous	B-Disease
ployposis	I-Disease
cloi	I-Disease
(	I-Disease
APC	I-Disease
)	I-Disease
tuomur	I-Disease
-	O
supperssor	O
portein	O
contorls	O
the	O
Wnt	O
signlaling	O
pathawy	O
by	O
forming	O
a	O
cmoplex	O
with	O
glycoegn	O
syntahse	O
kinsae	O
3beta	O
(	O
GSK	O
-	O
3beta	O
)	O
,	O
aixn	O
/	O
codnuctin	O
and	O
beatcatenin	O
.	O

Compelx	O
fomration	O
inudces	O
the	O
raipd	O
degraadtion	O
of	O
bteacatenin	O
.	O

In	O
cooln	B-Disease
carcnioma	I-Disease
clels	O
,	O
lsos	O
of	O
APC	O
leads	O
to	O
the	O
accmuulation	O
of	O
betactaenin	O
in	O
the	O
nulceus	O
,	O
where	O
it	O
bidns	O
to	O
and	O
atcivates	O
the	O
Tcf	O
-	O
4	O
transcripiton	O
fatcor	O
(	O
revieewd	O
in	O
[	O
1	O
]	O
[	O
2	O
]	O
)	O
.	O

Here	O
,	O
we	O
rpeort	O
the	O
identifictaion	O
and	O
genoimc	O
strutcure	O
of	O
APC	O
homolouges	O
.	O

Mamamlian	O
ACP2	O
,	O
which	O
closely	O
resembles	O
APC	O
in	O
overall	O
doamin	O
strcuture	O
,	O
was	O
functionally	O
anlayzed	O
and	O
shown	O
to	O
contain	O
two	O
SMAP	O
doamins	O
,	O
both	O
of	O
which	O
are	O
required	O
for	O
bindnig	O
to	O
codnuctin	O
.	O

Like	O
APC	O
,	O
ACP2	O
rgeulates	O
the	O
formaiton	O
of	O
actvie	O
betcaatenin	O
-	O
Tcf	O
compleexs	O
,	O
as	O
demonstrated	O
using	O
tranisent	O
transcripitonal	O
actviation	O
assays	O
in	O
APC	O
-	O
/	O
-	O
cloon	B-Disease
carcionma	I-Disease
clels	O
.	O

Hmuan	O
ACP2	O
mpas	O
to	O
chromoosme	O
19p13	O
.	O

3	O
.	O

APC	O
and	O
ACP2	O
may	O
therefore	O
have	O
comparable	O
fucntions	O
in	O
devleopment	O
and	O
cacner	B-Disease
.	O

A	O
common	O
MHS2	O
muattion	O
in	O
Enlgish	O
and	O
Notrh	O
Ameriacn	O
HPNCC	B-Disease
fmailies	O
:	O
oirgin	O
,	O
phenotyipc	O
exrpession	O
,	O
and	O
sex	O
specific	O
difefrences	O
in	O
coloerctal	B-Disease
cnacer	I-Disease
.	O

The	O
frequnecy	O
,	O
oriign	O
,	O
and	O
phenotpyic	O
epxression	O
of	O
a	O
germilne	O
MHS2	O
gnee	O
muattion	O
previously	O
identiifed	O
in	O
seven	O
kinrdeds	O
with	O
herediatry	B-Disease
non	I-Disease
-	I-Disease
polpyosis	I-Disease
cnacer	I-Disease
synrdome	I-Disease
(	O
HPNCC	B-Disease
)	O
was	O
investiagted	O
.	O

The	O
muttaion	O
(	O
A	O
-	O
-	O
>	O
T	O
at	O
nt493	O
+	O
3	O
)	O
dirsupts	O
the	O
3	O
splcie	O
stie	O
of	O
eoxn	O
5	O
leading	O
to	O
the	O
dleetion	O
of	O
this	O
eoxn	O
from	O
MHS2	O
mNRA	O
and	O
represents	O
the	O
only	O
frequnet	O
MHS2	O
mutaiton	O
so	O
far	O
reported	O
.	O

Although	O
this	O
mutaiton	O
was	O
initially	O
detetced	O
in	O
four	O
of	O
33	O
cloorectal	B-Disease
cacner	I-Disease
faimlies	O
anlaysed	O
from	O
esatern	O
Enlgand	O
,	O
more	O
etxensive	O
anlaysis	O
has	O
reudced	O
the	O
ferquency	O
to	O
four	O
of	O
52	O
(	O
8	O
%	O
)	O
Englsih	O
HNCPC	B-Disease
kinderds	O
aanlysed	O
.	O

In	O
contrast	O
,	O
the	O
MHS2	O
muttaion	O
was	O
idetnified	O
in	O
10	O
of	O
20	O
(	O
50	O
%	O
)	O
separately	O
idetnified	O
coloerctal	B-Disease
faimlies	O
from	O
Newfoundlnad	O
.	O

To	O
investiagte	O
the	O
orgiin	O
of	O
this	O
mtuation	O
in	O
coloerctal	B-Disease
cacner	I-Disease
famliies	O
from	O
Engalnd	O
(	O
n	O
=	O
4	O
)	O
,	O
Nefwoundland	O
(	O
n	O
=	O
10	O
)	O
,	O
and	O
the	O
Unietd	O
Sattes	O
(	O
n	O
=	O
3	O
)	O
,	O
haplotpye	O
anlaysis	O
using	O
microastellite	O
marekrs	O
linked	O
to	O
MHS2	O
was	O
performed	O
.	O

Within	O
the	O
Egnlish	O
and	O
US	O
famiiles	O
there	O
was	O
little	O
eivdence	O
for	O
a	O
recent	O
common	O
oriign	O
of	O
the	O
MHS2	O
splcie	O
stie	O
muattion	O
in	O
most	O
famliies	O
.	O

In	O
contrast	O
,	O
a	O
common	O
hapoltype	O
was	O
iedntified	O
at	O
the	O
two	O
flanking	O
mrakers	O
(	O
CA5	O
and	O
D2S288	O
)	O
in	O
eight	O
of	O
the	O
Newfoundalnd	O
famileis	O
.	O

These	O
findnigs	O
suggested	O
a	O
fonuder	O
effcet	O
within	O
Newofundland	O
similar	O
to	O
that	O
reported	O
by	O
others	O
for	O
two	O
MHL1	O
mutatinos	O
in	O
Fninish	O
HPNCC	B-Disease
famliies	O
.	O

We	O
calculated	O
age	O
related	O
rikss	O
of	O
all	O
,	O
cloorectal	B-Disease
,	I-Disease
endomertial	I-Disease
,	I-Disease
and	I-Disease
oavrian	I-Disease
cacners	I-Disease
in	O
n9t43	O
+	O
3	O
A	O
-	O
-	O
>	O
T	O
MHS2	O
mutatoin	O
carriers	O
(	O
n	O
=	O
76	O
)	O
for	O
all	O
patinets	O
and	O
for	O
men	O
and	O
wmoen	O
separately	O
.	O

For	O
both	O
sxees	O
cmobined	O
,	O
the	O
penetranecs	O
at	O
age	O
60	O
yaers	O
for	O
all	O
canecrs	B-Disease
and	O
for	O
coloretcal	B-Disease
cnacer	I-Disease
were	O
0	O
.	O

86	O
and	O
0	O
.	O

57	O
,	O
respectively	O
.	O

The	O
rsik	O
of	O
cloorectal	B-Disease
cacner	I-Disease
was	O
significantly	O
higehr	O
(	O
p	O
<	O
0	O
.	O
01	O
)	O
in	O
